               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.093193,            0.042986,            0.056577,            0.094719,             0.12733,            0.070714,            0.023174,            0.046488,            0.025838,            0.035728,              0.0706,           0.0032667,           0.0032667
                   1,            0.060695,            0.041632,            0.045192,             0.38061,             0.33522,             0.26895,             0.11774,            0.038048,            0.021807,            0.024068,            0.040535,           0.0065347,           0.0065347
                   2,            0.057455,            0.037298,            0.031948,              0.3579,             0.36907,             0.22113,            0.092825,            0.042928,            0.019528,            0.015722,            0.010403,           0.0097367,           0.0097367
                   3,            0.058991,            0.034245,            0.023032,             0.50294,             0.53648,             0.44447,             0.19709,            0.035536,            0.018628,            0.010766,            0.009703,            0.009703,            0.009703
                   4,             0.05351,            0.035117,            0.018046,             0.48093,             0.68115,             0.58461,             0.26829,            0.036816,             0.01725,           0.0081751,            0.009703,            0.009703,            0.009703
                   5,            0.052218,            0.034246,            0.016842,             0.63607,             0.62951,             0.64805,             0.30028,            0.030829,            0.019212,           0.0066729,            0.009604,            0.009604,            0.009604
                   6,             0.04807,            0.032769,            0.013393,             0.47053,             0.63019,             0.56486,             0.26939,             0.03304,            0.019116,           0.0051323,            0.009505,            0.009505,            0.009505
                   7,            0.045676,             0.03139,            0.013197,             0.81967,             0.68611,             0.79283,              0.4153,            0.026987,            0.016496,           0.0040476,            0.009406,            0.009406,            0.009406
                   8,             0.04499,            0.031181,            0.010038,             0.71027,             0.78149,              0.8338,             0.43888,            0.028074,            0.015451,           0.0029848,            0.009307,            0.009307,            0.009307
                   9,            0.045301,            0.030225,            0.010643,             0.73588,              0.7703,             0.79612,             0.43095,             0.02819,            0.015052,           0.0029651,            0.009208,            0.009208,            0.009208
                  10,            0.043489,            0.029838,           0.0080114,             0.83568,             0.82124,             0.87903,             0.51216,             0.02553,            0.014641,           0.0030805,            0.009109,            0.009109,            0.009109
                  11,            0.041632,            0.029691,           0.0067598,             0.88518,             0.80207,             0.89693,             0.54453,            0.024869,            0.013498,           0.0029433,             0.00901,             0.00901,             0.00901
                  12,            0.039861,            0.027816,           0.0079413,             0.81078,             0.89034,             0.92199,             0.57633,             0.02575,            0.012766,           0.0020976,            0.008911,            0.008911,            0.008911
                  13,            0.039623,            0.028338,           0.0087979,             0.86099,             0.88343,             0.90371,             0.51029,            0.025152,            0.013595,            0.001753,            0.008812,            0.008812,            0.008812
                  14,            0.039251,            0.027697,           0.0074266,             0.90565,             0.88991,             0.93816,             0.54692,            0.022777,            0.013523,           0.0018866,            0.008713,            0.008713,            0.008713
                  15,            0.038706,            0.028285,           0.0060312,              0.9147,             0.87955,             0.94647,              0.6167,            0.021297,            0.012907,           0.0018988,            0.008614,            0.008614,            0.008614
                  16,             0.03787,            0.027578,           0.0062573,             0.95405,             0.91261,             0.96292,             0.65672,            0.020771,            0.011851,           0.0015573,            0.008515,            0.008515,            0.008515
                  17,            0.036321,            0.027104,           0.0049089,             0.92227,             0.93529,             0.96375,             0.60346,            0.024937,            0.012302,           0.0012739,            0.008416,            0.008416,            0.008416
                  18,            0.036039,            0.026277,           0.0057427,             0.93415,             0.92145,             0.95941,             0.65171,            0.020384,            0.012519,           0.0017031,            0.008317,            0.008317,            0.008317
                  19,            0.035106,            0.026124,           0.0057974,             0.91851,             0.90293,             0.95127,             0.64615,            0.018502,            0.012436,           0.0019404,            0.008218,            0.008218,            0.008218
                  20,            0.035439,            0.025756,           0.0054043,             0.93549,             0.92273,             0.96967,              0.6777,            0.018167,            0.012033,           0.0019208,            0.008119,            0.008119,            0.008119
                  21,            0.037364,            0.025486,           0.0054348,             0.90774,             0.91637,             0.95426,             0.67728,            0.018437,            0.012288,           0.0014337,             0.00802,             0.00802,             0.00802
                  22,            0.035257,            0.026093,           0.0058011,             0.93933,             0.94358,             0.97134,             0.64031,            0.018681,              0.0121,           0.0010326,            0.007921,            0.007921,            0.007921
                  23,            0.034745,             0.02597,           0.0060818,             0.94242,              0.9469,             0.97068,             0.68266,            0.017469,            0.011603,           0.0012428,            0.007822,            0.007822,            0.007822
